No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
30000,2016,8,1,23,55,63,2,17,1400,97,27,1001.2,23.5,0,NNW,0.8,Changping
30001,2016,8,2,0,56,56,2,12,1300,95,26.6,1001.1,23.3,0,W,1,Changping
30002,2016,8,2,1,58,58,2,19,1300,80,25.5,1000.8,23,0,NNW,1.2,Changping
30003,2016,8,2,2,60,60,2,26,1400,55,25.6,1000.9,23.1,0,ENE,0.5,Changping
30004,2016,8,2,3,57,57,2,14,1300,72,25,1000.9,22.9,0,NNW,1.5,Changping
30005,2016,8,2,4,59,59,2,18,1400,59,24.6,1000.7,22.5,0,NNW,0.6,Changping
30006,2016,8,2,5,60,60,2,30,1400,44,24.1,1000.9,22.5,0,NW,1.2,Changping
30007,2016,8,2,6,58,61,2,33,1400,31,24.3,1001.3,22.2,0,N,0.9,Changping
30008,2016,8,2,7,42,42,2,28,1300,38,26.5,1001.4,21.9,0,NNE,0.4,Changping
30009,2016,8,2,8,23,27,2,18,800,59,28.1,1001.8,21.9,0,NNW,0.8,Changping
30010,2016,8,2,9,22,38,2,17,700,64,30.1,1001.7,21.7,0,NW,1,Changping
30011,2016,8,2,10,27,45,2,14,800,94,32.6,1001.7,21.1,0,SE,1.4,Changping
30012,2016,8,2,11,32,61,2,17,900,121,32.1,1001.4,21.6,0,ESE,2.7,Changping
30013,2016,8,2,12,24,28,2,10,600,129,32.5,1001.2,22,0,SSE,3.6,Changping
30014,2016,8,2,13,20,20,2,8,500,128,33.4,1000.9,21.2,0,SSE,2,Changping
30015,2016,8,2,14,14,19,2,6,500,133,33.8,1000.3,21.6,0,SSE,1.3,Changping
30016,2016,8,2,15,17,17,2,7,500,136,33.8,999.8,20.6,0,SSE,2.1,Changping
30017,2016,8,2,16,15,24,2,7,500,125,34.3,999.5,21.4,0,SSW,1.4,Changping
30018,2016,8,2,17,20,20,2,7,600,127,34.2,998.9,20.9,0,SSW,1.3,Changping
30019,2016,8,2,18,18,19,2,8,600,132,33.8,998.8,20.6,0,SW,1.5,Changping
30020,2016,8,2,19,15,27,2,13,600,133,32.6,999.2,20.5,0,ESE,1.4,Changping
30021,2016,8,2,20,12,26,2,18,600,123,30.1,999.6,22.8,0,N,1.7,Changping
30022,2016,8,2,21,20,62,2,24,800,76,29.1,1000.5,22.8,0,SW,1.1,Changping
30023,2016,8,2,22,25,54,2,47,800,40,27.1,1001,22.5,0,N,2.2,Changping
30024,2016,8,2,23,23,34,2,19,700,60,26.9,1001.3,21.9,0,NNW,1,Changping
30025,2016,8,3,0,18,27,2,13,700,68,26.4,1001.4,21.6,0,NNW,1.1,Changping
30026,2016,8,3,1,23,32,2,12,1500,55,26,1001.3,21.7,0,NW,1.1,Changping
30027,2016,8,3,2,26,35,19,19,500,31,25.5,1001.4,21.8,0,N,1.6,Changping
30028,2016,8,3,3,23,36,2,10,500,35,24.9,1001.1,21.8,0,NNE,0.7,Changping
30029,2016,8,3,4,25,35,2,22,500,26,24.2,1001,21.7,0,NNW,1.7,Changping
30030,2016,8,3,5,26,37,2,19,600,40,24.9,1001.1,21.2,0,NNW,0.6,Changping
30031,2016,8,3,6,23,42,2,16,800,51,24.3,1001.6,21.6,0,NNE,0.8,Changping
30032,2016,8,3,7,24,45,2,32,900,39,25.9,1001.6,21.6,0,WNW,0.3,Changping
30033,2016,8,3,8,20,44,2,50,800,35,27.8,1001.6,21.8,0,W,1,Changping
30034,2016,8,3,9,26,65,2,45,800,49,28.8,1001.9,22.1,0,WSW,1,Changping
30035,2016,8,3,10,28,66,2,35,800,78,30.7,1001.8,22.8,0,WSW,1.6,Changping
30036,2016,8,3,11,27,69,2,29,800,117,32.2,1001.4,22.9,0,SSW,1.8,Changping
30037,2016,8,3,12,28,63,2,21,700,148,33.5,1001,23.5,0,SSW,1.9,Changping
30038,2016,8,3,13,23,35,2,13,700,176,34.2,1000.5,22.3,0,SE,2,Changping
30039,2016,8,3,14,24,28,2,9,700,160,35.1,1000.2,21,0,ESE,2,Changping
